property_url,Rent,Sub-Type,Furnishing,Listed By,Car Parking,Meals Included,error
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-boys-with-food-attach-washroom-wifi-ro-sec-61-phase-7-mohali-in-sector-61-mohali-iid-1764312220,"₹ 7,000",PG,Furnished,Owner,1,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-fully-furnished-pg-sector-6982-for-girls-with-food-in-sector-91-in-sector-91-mohali-iid-1508546453,"₹ 7,000",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-boys-with-food-attached-washroom-phase-7-in-mohali-in-sector-70-mohali-iid-1781538269,"₹ 6,500",PG,Furnished,Owner,2,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-girls-pg-fully-furnished-near-cgc-landran-with-ac-wifi-lpg-gas-in-sector-94-mohali-iid-1809650112,"₹ 5,000",PG,Furnished,Owner,3+,No,
https://www.olx.in/item/pg-guest-houses-c1449-fully-independent-boys-pg-in-sector-61-mohali-iid-1809226500,"₹ 6,500",PG,Furnished,Owner,1,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-boys-with-food-3-time-ac-room-near-market-phase-7in-mohali-in-sector-61-mohali-iid-1803031551,"₹ 6,500",PG,Furnished,Owner,0,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-boys-in-india-iid-1806951094,"₹ 6,500",PG,,Owner,2,,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-girls-near-hanuman-mandir-3b2-near-phase-8b-in-industrial-area-phase-8-mohali-iid-1809650709,"₹ 6,000",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-girls-with-3-time-food-all-facilities-2-seater-sec-70-mohali-in-sector-70-mohali-iid-1786613734,"₹ 7,000",PG,Furnished,Owner,1,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-best-pg-for-boys-in-sec-59ph5-nd-603b2-near-by-sec-747573-ph88b-in-sector-74-mohali-iid-1755242137,"₹ 6,500",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-with-food-pg-for-girls-in-sec-59-and-70-near-by-747375-ph88b-in-sector-74-mohali-iid-1749611078,"₹ 6,500",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-independent-rooms-pg-in-bar-majra-mohali-iid-1725554752,"₹ 5,500",PG,Semi-Furnished,Owner,0,No,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-boys-and-girls-near-sector-67-cp-mall-and-bestec-tower-mohali-in-sector-67-mohali-iid-1798578697,"₹ 6,500",PG,Furnished,Owner,3,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-boys-in-sector-60-phase-3b2-mohali-iid-1807204591,"₹ 6,500",PG,Furnished,Owner,3,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-girls-in-sector-60-near-janta-market-in-sector-60-phase-3b2-mohali-iid-1809621707,"₹ 5,500",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-well-build-with-food-ac-pg-for-boys-girls-phase-7-3b2-mohali-in-sector-61-mohali-iid-1807470317,"₹ 7,000",PG,Furnished,Owner,1,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-boys-girls-couple-family-independent-room-in-bar-majra-mohali-iid-1806996264,"₹ 5,500",PG,Semi-Furnished,Owner,3+,No,
https://www.olx.in/item/pg-guest-houses-c1449-pg-girls-phase-4-mohali-in-sector-59-mohali-iid-1808996063,"₹ 3,100",PG,,Owner,0,No,
https://www.olx.in/item/pg-guest-houses-c1449-need-a-girl-roommate-in-2-seater-room-ready-to-move-in-sector-59-mohali-iid-1808017292,"₹ 4,600",PG,Furnished,Owner,0,No,
https://www.olx.in/item/pg-guest-houses-c1449-boys-pg-without-food-4000rs-only-with-wifi-attached-washroom-in-sector-71-mohali-iid-1782619218,"₹ 4,000",PG,Furnished,Owner,3+,No,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-boys-in-7-phase-near-sector-67-cp-mall-in-sector-61-mohali-iid-1544514481,"₹ 7,000",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-boys-in-sector-71-near-sector-74-in-sector-71-mohali-iid-1800536823,"₹ 7,000",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-room-available-girlsboys-or-couple-8000rswith-kitchen-furnished-in-sector-71-mohali-iid-1782621215,"₹ 8,000",PG,Furnished,Owner,3+,No,
https://www.olx.in/item/pg-guest-houses-c1449-boys-pg-4999rs-with-food-attached-washroom-in-industrial-area-phase-3-mohali-iid-1805251865,"₹ 4,999",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-ac-boys-pg-6500rs-two-seater-attached-washroom-in-industrial-area-phase-3-mohali-iid-1806239403,"₹ 6,500",PG,Furnished,Owner,3+,Yes,
