property_url,Rent,Sub-Type,Furnishing,Listed By,Meals Included,Car Parking,error
https://www.olx.in/en-in/item/pg-guest-houses-c1449-girl-roommate-required-in-sector-80-in-sector-80-mohali-iid-1807076298,"₹ 3,600",Roommate,Furnished,Owner,No,0,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-newly-made-with-food-pg-for-girls-in-sec-5971near-by-ph8b8indarea-in-sector-74-mohali-iid-1755050176,N/A,,,,,,Main content missing
https://www.olx.in/en-in/item/pg-guest-houses-c1449-fully-furnished-pg-for-boys-in-mohali-in-industrial-area-phase-7-mohali-iid-1807037834,"₹ 7,500",PG,Furnished,Owner,Yes,1,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-furnished-pg-for-boys-location-oppo-cgc-college-jhajheri-in-sector-113-mohali-iid-1807041166,"₹ 3,500",PG,Semi-Furnished,Owner,No,3+,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-fully-furnished-pg-for-girls-in-sector-60-phase-3b2-mohali-iid-1807029846,"₹ 7,000",PG,Furnished,Owner,Yes,3+,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-boys-near-industrial-area-phase-8-in-sector-70-mohali-iid-1807029499,"₹ 6,000",PG,Furnished,Owner,Yes,3+,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-boys-near-7-or-8-industrial-area-mohali-in-industrial-area-phase-8-mohali-iid-1789915004,"₹ 6,500",PG,Furnished,Owner,Yes,1,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-rooms-available-for-boys-girls-and-couples-at-prime-location-in-balongi-mohali-iid-1807021914,"₹ 5,999",Guest Houses,Semi-Furnished,Owner,No,2,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-independent-pg-for-boys-near-industrial-area-mohali-in-industrial-area-phase-8-mohali-iid-1807037633,"₹ 7,500",PG,Furnished,Owner,Yes,1,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-need-roommate-in-sector-78-mohali-iid-1806988871,"₹ 2,400",Roommate,Furnished,Owner,,0,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-need-room-mate-in-sector-78-mohali-iid-1806980121,"₹ 2,400",Roommate,Furnished,Owner,,0,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-one-room-set-with-kitchen-or-washroom-sector-78-in-sohana-village-mohali-iid-1806968043,"₹ 7,500",Roommate,Semi-Furnished,Owner,No,0,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-only-for-girls-with-food-in-sector-60-mohali-iid-1807009214,"₹ 6,500",PG,Furnished,,Yes,,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-private-room-avaliable-for-rent-in-sector-52-chandigarh-in-sector-52-chandigarh-iid-1721742902,"₹ 9,000",PG,Furnished,Owner,No,3+,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-girls-in-sector-60-phase-3b2-mohali-iid-1806936193,"₹ 7,000",PG,Furnished,Owner,No,3+,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-girls-ac-rooms-3-time-food-night-shift-allow-in-sector-70-mohali-iid-1806928304,"₹ 6,000",PG,Furnished,Owner,Yes,3,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-boys-in-sec-67-backside-cp-67-mallnear-it-park-in-sector-67-mohali-iid-1806779177,N/A,,,,,,Main content missing
https://www.olx.in/en-in/item/pg-guest-houses-c1449-lg-top-load-fully-automatic-washing-machine-65kg-good-working-in-balongi-mohali-iid-1806940917,N/A,,,,,,Main content missing
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-girls-with-food-in-sector-60-phase-3b2-mohali-iid-1806926064,"₹ 7,000",PG,Furnished,Owner,Yes,3+,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-boys-with-food-in-sector-60-phase-3b2-mohali-iid-1806926207,"₹ 6,000",PG,Furnished,Owner,Yes,3+,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-for-working-boys-only-in-sector-64-mohali-iid-1806884048,N/A,,,,,,Main content missing
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-boys-in-sector-59-phase-5-mohali-iid-1806902159,N/A,,,,,,Main content missing
https://www.olx.in/en-in/item/pg-guest-houses-c1449-independent-pg-for-girls-in-phase-7-with-food-6500-in-sector-61-mohali-iid-1806877669,N/A,,,,,,Main content missing
https://www.olx.in/en-in/item/pg-guest-houses-c1449-fully-independent-room-in-sector-70-mohali-iid-1806865461,N/A,,,,,,Main content missing
https://www.olx.in/en-in/item/pg-guest-houses-c1449-100-rooms-pg-available-for-rent-in-sector-114-mohali-iid-1792237711,N/A,,,,,,Main content missing
https://www.olx.in/en-in/item/pg-guest-houses-c1449-best-girls-pg-in-mohali-in-phase-1-mohali-iid-1722328724,N/A,,,,,,Main content missing
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-boys-with-food-in-sector-60-phase-3b2-mohali-iid-1806821117,N/A,,,,,,Main content missing
